# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 9.360151367187500000e+03 9.360151367187500000e+03 9.993101954460144043e-01
1.000000000000000000e+03 3.069174316406250000e+03 3.069174316406250000e+03 5.722287297248840332e-01
2.000000000000000000e+03 1.487174682617187500e+03 1.487174682617187500e+03 3.983271121978759766e-01
3.000000000000000000e+03 9.019517822265625000e+02 9.019517822265625000e+02 3.102062642574310303e-01
4.000000000000000000e+03 5.462597045898437500e+02 5.462597045898437500e+02 2.414117604494094849e-01
5.000000000000000000e+03 3.114525146484375000e+02 3.114525146484375000e+02 1.822866201400756836e-01
6.000000000000000000e+03 1.647882232666015625e+02 1.647882232666015625e+02 1.325934082269668579e-01
7.000000000000000000e+03 8.048004150390625000e+01 8.048004150390625000e+01 9.266228228807449341e-02
8.000000000000000000e+03 3.575150299072265625e+01 3.575150299072265625e+01 6.175981834530830383e-02
9.000000000000000000e+03 1.441684722900390625e+01 1.441684722900390625e+01 3.921877220273017883e-02
1.000000000000000000e+04 5.253213882446289062e+00 5.253213882446289062e+00 2.367398515343666077e-02
1.100000000000000000e+04 2.333123445510864258e+00 2.333123445510864258e+00 1.577711105346679688e-02
1.200000000000000000e+04 5.109812021255493164e-01 5.109812021255493164e-01 7.383479736745357513e-03
1.300000000000000000e+04 1.879323840141296387e+00 1.879323840141296387e+00 1.415989641100168228e-02
1.400000000000000000e+04 5.593723803758621216e-02 5.593723803758621216e-02 2.442914294078946114e-03
1.500000000000000000e+04 1.198765635490417480e+00 1.198765635490417480e+00 1.130906026810407639e-02
1.600000000000000000e+04 1.774684898555278778e-02 1.774684898555278778e-02 1.376001746393740177e-03
1.700000000000000000e+04 1.396487094461917877e-02 1.396487094461917877e-02 1.220608595758676529e-03
1.800000000000000000e+04 1.047188136726617813e-02 1.047188136726617813e-02 1.056989422067999840e-03
1.900000000000000000e+04 9.241999126970767975e-03 9.241999126970767975e-03 9.929814841598272324e-04
2.000000000000000000e+04 2.800096571445465088e-02 2.800096571445465088e-02 1.728392206132411957e-03
2.100000000000000000e+04 6.909508723765611649e-03 6.909508723765611649e-03 8.585820905864238739e-04
2.200000000000000000e+04 6.483010947704315186e-03 6.483010947704315186e-03 8.316587191075086594e-04
2.300000000000000000e+04 3.344731032848358154e-01 3.344731032848358154e-01 5.973660387098789215e-03
2.400000000000000000e+04 1.212255239486694336e+00 1.212255239486694336e+00 1.137251220643520355e-02
2.500000000000000000e+04 1.306615322828292847e-01 1.306615322828292847e-01 3.733629593625664711e-03
2.600000000000000000e+04 4.894004203379154205e-03 4.894004203379154205e-03 7.225870504043996334e-04
2.700000000000000000e+04 4.728357307612895966e-03 4.728357307612895966e-03 7.102530216798186302e-04
2.800000000000000000e+04 1.216335594654083252e-02 1.216335594654083252e-02 1.139167230576276779e-03
2.900000000000000000e+04 6.352551747113466263e-03 6.352551747113466263e-03 8.232547552324831486e-04
3.000000000000000000e+04 9.929888881742954254e-03 9.929888881742954254e-03 1.029282808303833008e-03
3.100000000000000000e+04 4.635614808648824692e-03 4.635614808648824692e-03 7.032493012957274914e-04
3.200000000000000000e+04 3.672462422400712967e-03 3.672462422400712967e-03 6.259456276893615723e-04
3.300000000000000000e+04 2.553873881697654724e-02 2.553873881697654724e-02 1.650671125389635563e-03
3.400000000000000000e+04 3.470030613243579865e-03 3.470030613243579865e-03 6.084501510486006737e-04
3.500000000000000000e+04 3.212303156033158302e-03 3.212303156033158302e-03 5.854189512319862843e-04
3.600000000000000000e+04 3.131154226139187813e-03 3.131154226139187813e-03 5.779775092378258705e-04
3.700000000000000000e+04 9.100630134344100952e-02 9.100630134344100952e-02 3.115965751931071281e-03
3.800000000000000000e+04 1.222364753484725952e-01 1.222364753484725952e-01 3.611252177506685257e-03
3.900000000000000000e+04 3.517584204673767090e-01 3.517584204673767090e-01 6.126070860773324966e-03
4.000000000000000000e+04 3.693743376061320305e-03 3.693743376061320305e-03 6.277504144236445427e-04
4.100000000000000000e+04 1.536652818322181702e-02 1.536652818322181702e-02 1.280391821637749672e-03
4.200000000000000000e+04 3.398983739316463470e-03 3.398983739316463470e-03 6.021953304298222065e-04
4.300000000000000000e+04 4.767231643199920654e-03 4.767231643199920654e-03 7.131595048122107983e-04
4.400000000000000000e+04 3.898027120158076286e-03 3.898027120158076286e-03 6.448905332945287228e-04
4.500000000000000000e+04 3.874709084630012512e-02 3.874709084630012512e-02 2.033185446634888649e-03
4.600000000000000000e+04 2.285359660163521767e-03 2.285359660163521767e-03 4.937819903716444969e-04
4.700000000000000000e+04 2.217120258137583733e-03 2.217120258137583733e-03 4.863541107624769211e-04
4.800000000000000000e+04 2.511119237169623375e-03 2.511119237169623375e-03 5.176009726710617542e-04
4.900000000000000000e+04 2.055032411590218544e-03 2.055032411590218544e-03 4.682383441831916571e-04
5.000000000000000000e+04 5.554579664021730423e-03 5.554579664021730423e-03 7.698222761973738670e-04
