# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 9.286259765625000000e+03 7.572984375000000000e+03 9.935129880905151367e-01
1.000000000000000000e+03 3.068578613281250000e+03 1.796691284179687500e+03 4.839235246181488037e-01
2.000000000000000000e+03 1.486445678710937500e+03 5.817155151367187500e+02 2.753565013408660889e-01
3.000000000000000000e+03 9.004147949218750000e+02 2.548288116455078125e+02 1.822486370801925659e-01
4.000000000000000000e+03 5.447955322265625000e+02 1.069318618774414062e+02 1.180574819445610046e-01
5.000000000000000000e+03 3.113777465820312500e+02 3.737041091918945312e+01 6.979171186685562134e-02
6.000000000000000000e+03 1.642656097412109375e+02 9.532633781433105469e+00 3.524896502494812012e-02
7.000000000000000000e+03 7.814094543457031250e+01 9.924939274787902832e-01 1.137375086545944214e-02
8.000000000000000000e+03 3.252646636962890625e+01 1.474277954548597336e-02 1.386208343319594860e-03
9.000000000000000000e+03 1.261389350891113281e+01 9.882383979856967926e-03 1.134934253059327602e-03
1.000000000000000000e+04 4.576519012451171875e+00 1.188591215759515762e-02 1.244679093360900879e-03
1.100000000000000000e+04 1.521521925926208496e+00 8.031505160033702850e-03 1.023146905936300755e-03
1.200000000000000000e+04 5.024514198303222656e-01 6.870212499052286148e-03 9.462902671657502651e-04
1.300000000000000000e+04 1.924962401390075684e-01 1.010623760521411896e-02 1.147720613516867161e-03
1.400000000000000000e+04 8.014682680368423462e-02 5.976413376629352570e-03 8.825912373140454292e-04
1.500000000000000000e+04 4.714786261320114136e-02 1.403034664690494537e-02 1.352311810478568077e-03
1.600000000000000000e+04 2.230435237288475037e-02 5.168321076780557632e-03 8.207578212022781372e-04
1.700000000000000000e+04 2.465723752975463867e+00 2.202215194702148438e+00 1.694221980869770050e-02
1.800000000000000000e+04 1.842921227216720581e-02 8.273824118077754974e-03 1.038459362462162971e-03
1.900000000000000000e+04 9.589877910912036896e-03 4.286068491637706757e-03 7.474313024431467056e-04
2.000000000000000000e+04 9.676817804574966431e-02 7.263551652431488037e-02 3.076894674450159073e-03
2.100000000000000000e+04 7.714849896728992462e-03 4.303049761801958084e-03 7.489110575988888741e-04
2.200000000000000000e+04 9.084953926503658295e-03 5.080275237560272217e-03 8.137327968142926693e-04
2.300000000000000000e+04 6.417368538677692413e-03 3.871790599077939987e-03 7.103916723281145096e-04
2.400000000000000000e+04 5.866501014679670334e-03 3.376290434971451759e-03 6.633776938542723656e-04
2.500000000000000000e+04 5.687677301466464996e-03 3.417220432311296463e-03 6.673869793303310871e-04
2.600000000000000000e+04 6.917077116668224335e-03 3.853484289720654488e-03 7.087010308168828487e-04
2.700000000000000000e+04 4.850266966968774796e-03 2.821662463247776031e-03 6.064486224204301834e-04
2.800000000000000000e+04 4.638433456420898438e-03 2.611417789012193680e-03 5.834171315655112267e-04
2.900000000000000000e+04 6.169745698571205139e-03 3.559263423085212708e-03 6.811051862314343452e-04
3.000000000000000000e+04 4.191386979073286057e-03 2.361830789595842361e-03 5.548350745812058449e-04
3.100000000000000000e+04 1.479222811758518219e-02 9.584667161107063293e-03 1.117696403525769711e-03
3.200000000000000000e+04 3.940253984183073044e-03 2.311889547854661942e-03 5.489355535246431828e-04
3.300000000000000000e+04 5.093879997730255127e-02 3.880422562360763550e-02 2.248938893899321556e-03
3.400000000000000000e+04 3.986342344433069229e-03 2.611701376736164093e-03 5.834511830471456051e-04
3.500000000000000000e+04 3.454051446169614792e-03 2.118755131959915161e-03 5.255092401057481766e-04
3.600000000000000000e+04 8.745007961988449097e-02 8.789159357547760010e-02 3.384668380022048950e-03
3.700000000000000000e+04 3.686943789944052696e-03 2.109203487634658813e-03 5.243287305347621441e-04
3.800000000000000000e+04 6.201807875186204910e-03 3.555610775947570801e-03 6.807590834796428680e-04
3.900000000000000000e+04 3.049537306651473045e-03 1.943614799529314041e-03 5.033233319409191608e-04
4.000000000000000000e+04 2.944665262475609779e-03 1.880333060398697853e-03 4.950613365508615971e-04
4.100000000000000000e+04 2.808992518112063408e-03 1.822500256821513176e-03 4.873890429735183716e-04
4.200000000000000000e+04 3.353932173922657967e-03 2.057574456557631493e-03 5.178626161068677902e-04
4.300000000000000000e+04 2.794770523905754089e-03 1.874841749668121338e-03 4.943358362652361393e-04
4.400000000000000000e+04 1.159896403551101685e-01 1.090714335441589355e-01 3.770486451685428619e-03
4.500000000000000000e+04 2.746839523315429688e-01 2.200417071580886841e-01 5.355393048375844955e-03
4.600000000000000000e+04 2.840157831087708473e-03 2.155757276341319084e-03 5.300799966789782047e-04
4.700000000000000000e+04 7.665999233722686768e-02 6.313628703355789185e-02 2.868646755814552307e-03
4.800000000000000000e+04 1.534597128629684448e-01 1.400491893291473389e-01 4.272486083209514618e-03
4.900000000000000000e+04 2.366816159337759018e-03 1.732382224872708321e-03 4.751844680868089199e-04
5.000000000000000000e+04 2.304064342752099037e-03 1.661799731664359570e-03 4.654026997741311789e-04
